Ic (@Vce=2V) = {0.1092mA, 0.2263mA, 0.4563mA, 
0.8844mA, 1.613mA, 2.723mA, 4.235mA, 6.086mA, 
8.004mA, 9.785mA, 11.56mA, 13.35mA, 15.18mA}

H21 vs. freq
Point prm/cv          freq1       H21_dB.m
  119  19/ 2  2.000000E+010 -7.834438E-002
  120  20/ 2  2.100000E+010 -4.909649E-001
  121  21/ 2  2.200000E+010 -8.099928E-001
  122  22/ 2  2.300000E+010 -1.111426E+000
  123  23/ 2  2.400000E+010 -1.366613E+000
  124  24/ 2  2.500000E+010 -1.653818E+000
  125  25/ 2  2.600000E+010 -1.939004E+000
  126  26/ 2  2.700000E+010 -2.116794E+000
  127  27/ 2  2.800000E+010 -2.434389E+000
  128  28/ 2  2.900000E+010 -2.685576E+000
  129  29/ 2  3.000000E+010 -2.992991E+000
  130  30/ 2  3.100000E+010 -3.282925E+000
  131  31/ 2  3.200000E+010 -3.544793E+000
  132  32/ 2  3.300000E+010 -3.875018E+000
  133  33/ 2  3.400000E+010 -4.131556E+000
  134  34/ 2  3.500000E+010 -4.327312E+000
  135  35/ 2  3.600000E+010 -4.544626E+000
  136  36/ 2  3.700000E+010 -4.750748E+000
  137  37/ 2  3.800000E+010 -4.894118E+000
  138  38/ 2  3.900000E+010 -5.078424E+000
  139  39/ 2  4.000000E+010 -5.233108E+000
  140  40/ 2  4.100000E+010 -5.400081E+000
  141  41/ 2  4.200000E+010 -5.581218E+000
  142  42/ 2  4.300000E+010 -5.706691E+000
  143  43/ 2  4.400000E+010 -5.860278E+000
  144  44/ 2  4.500000E+010 -6.018846E+000
  145  45/ 2  4.600000E+010 -6.137931E+000
  146  46/ 2  4.700000E+010 -6.273996E+000
  147  47/ 2  4.800000E+010 -6.380093E+000
  148  48/ 2  4.900000E+010 -6.520184E+000
  149  49/ 2  5.000000E+010 -6.599677E+000
  150   0/ 3  1.000000E+009  2.810625E+001
  151   1/ 3  2.000000E+009  2.229201E+001
  152   2/ 3  3.000000E+009  1.878554E+001
  153   3/ 3  4.000000E+009  1.636645E+001
  154   4/ 3  5.000000E+009  1.450929E+001
  155   5/ 3  6.000000E+009  1.290171E+001
  156   6/ 3  7.000000E+009  1.169099E+001
  157   7/ 3  8.000000E+009  1.045673E+001
  158   8/ 3  9.000000E+009  9.499595E+000
  159   9/ 3  1.000000E+010  8.553526E+000
  160  10/ 3  1.100000E+010  7.739903E+000
  161  11/ 3  1.200000E+010  6.983533E+000
  162  12/ 3  1.300000E+010  6.271942E+000
  163  13/ 3  1.400000E+010  5.639508E+000
  164  14/ 3  1.500000E+010  5.047984E+000
  165  15/ 3  1.600000E+010  4.481036E+000
  166  16/ 3  1.700000E+010  3.964466E+000
  167  17/ 3  1.800000E+010  3.478147E+000
  168  18/ 3  1.900000E+010  3.057395E+000
  169  19/ 3  2.000000E+010  2.649271E+000
  170  20/ 3  2.100000E+010  2.248526E+000
  171  21/ 3  2.200000E+010  1.893360E+000
  172  22/ 3  2.300000E+010  1.543018E+000
  173  23/ 3  2.400000E+010  1.225626E+000
  174  24/ 3  2.500000E+010  9.080968E-001
  175  25/ 3  2.600000E+010  5.984288E-001
  176  26/ 3  2.700000E+010  3.401811E-001
  177  27/ 3  2.800000E+010  4.762333E-002
  178  28/ 3  2.900000E+010 -2.154762E-001
  179  29/ 3  3.000000E+010 -5.086270E-001
  180  30/ 3  3.100000E+010 -7.802918E-001
  181  31/ 3  3.200000E+010 -1.031309E+000
  182  32/ 3  3.300000E+010 -1.312600E+000
  183  33/ 3  3.400000E+010 -1.564641E+000
  184  34/ 3  3.500000E+010 -1.780721E+000
  185  35/ 3  3.600000E+010 -1.987374E+000
  186  36/ 3  3.700000E+010 -2.210858E+000
  187  37/ 3  3.800000E+010 -2.388747E+000
  188  38/ 3  3.900000E+010 -2.587071E+000
  189  39/ 3  4.000000E+010 -2.762102E+000
  190  40/ 3  4.100000E+010 -2.945030E+000
  191  41/ 3  4.200000E+010 -3.139410E+000
  192  42/ 3  4.300000E+010 -3.278684E+000
  193  43/ 3  4.400000E+010 -3.466114E+000
  194  44/ 3  4.500000E+010 -3.627692E+000
  195  45/ 3  4.600000E+010 -3.777580E+000
  196  46/ 3  4.700000E+010 -3.915480E+000
  197  47/ 3  4.800000E+010 -4.049190E+000
  198  48/ 3  4.900000E+010 -4.272744E+000
  199  49/ 3  5.000000E+010 -4.323052E+000
  200   0/ 4  1.000000E+009  2.986854E+001
  201   1/ 4  2.000000E+009  2.425233E+001
  202   2/ 4  3.000000E+009  2.084740E+001
  203   3/ 4  4.000000E+009  1.836982E+001
  204   4/ 4  5.000000E+009  1.643459E+001
  205   5/ 4  6.000000E+009  1.486479E+001
  206   6/ 4  7.000000E+009  1.352690E+001
  207   7/ 4  8.000000E+009  1.239978E+001
  208   8/ 4  9.000000E+009  1.139578E+001
  209   9/ 4  1.000000E+010  1.049642E+001
  210  10/ 4  1.100000E+010  9.685428E+000
  211  11/ 4  1.200000E+010  8.951470E+000
  212  12/ 4  1.300000E+010  8.287100E+000
  213  13/ 4  1.400000E+010  7.651658E+000
  214  14/ 4  1.500000E+010  7.065660E+000
  215  15/ 4  1.600000E+010  6.510307E+000
  216  16/ 4  1.700000E+010  6.008932E+000
  217  17/ 4  1.800000E+010  5.518693E+000
  218  18/ 4  1.900000E+010  5.063169E+000
  219  19/ 4  2.000000E+010  4.638132E+000
  220  20/ 4  2.100000E+010  4.238540E+000
  221  21/ 4  2.200000E+010  3.860269E+000
  222  22/ 4  2.300000E+010  3.491252E+000
  223  23/ 4  2.400000E+010  3.140706E+000
  224  24/ 4  2.500000E+010  2.813546E+000
  225  25/ 4  2.600000E+010  2.482813E+000
  226  26/ 4  2.700000E+010  2.183935E+000
