Ic (@Vce=2V) = {0.1092mA, 0.2263mA, 0.4563mA, 
0.8844mA, 1.613mA, 2.723mA, 4.235mA, 6.086mA, 
8.004mA, 9.785mA, 11.56mA, 13.35mA, 15.18mA}

H21 vs. freq
Point prm/cv          freq1       H21_dB.m
  528  28/10  2.900000E+010 -1.203697E+001
  529  29/10  3.000000E+010 -1.227837E+001
  530  30/10  3.100000E+010 -1.251937E+001
  531  31/10  3.200000E+010 -1.270588E+001
  532  32/10  3.300000E+010 -1.290176E+001
  533  33/10  3.400000E+010 -1.313222E+001
  534  34/10  3.500000E+010 -1.332894E+001
  535  35/10  3.600000E+010 -1.348709E+001
  536  36/10  3.700000E+010 -1.369934E+001
  537  37/10  3.800000E+010 -1.385465E+001
  538  38/10  3.900000E+010 -1.403690E+001
  539  39/10  4.000000E+010 -1.422703E+001
  540  40/10  4.100000E+010 -1.437254E+001
  541  41/10  4.200000E+010 -1.449947E+001
  542  42/10  4.300000E+010 -1.461143E+001
  543  43/10  4.400000E+010 -1.480177E+001
  544  44/10  4.500000E+010 -1.495584E+001
  545  45/10  4.600000E+010 -1.500388E+001
  546  46/10  4.700000E+010 -1.511240E+001
  547  47/10  4.800000E+010 -1.537057E+001
  548  48/10  4.900000E+010 -1.547956E+001
  549  49/10  5.000000E+010 -1.542792E+001
  550   0/11  1.000000E+009  1.326803E+001
  551   1/11  2.000000E+009  7.502575E+000
  552   2/11  3.000000E+009  4.100158E+000
  553   3/11  4.000000E+009  1.680512E+000
  554   4/11  5.000000E+009 -1.823115E-001
  555   5/11  6.000000E+009 -1.685807E+000
  556   6/11  7.000000E+009 -2.960265E+000
  557   7/11  8.000000E+009 -4.040658E+000
  558   8/11  9.000000E+009 -4.999048E+000
  559   9/11  1.000000E+010 -5.845207E+000
  560  10/11  1.100000E+010 -6.609686E+000
  561  11/11  1.200000E+010 -7.314022E+000
  562  12/11  1.300000E+010 -7.943901E+000
  563  13/11  1.400000E+010 -8.530617E+000
  564  14/11  1.500000E+010 -9.082036E+000
  565  15/11  1.600000E+010 -9.596097E+000
  566  16/11  1.700000E+010 -1.007066E+001
  567  17/11  1.800000E+010 -1.053250E+001
  568  18/11  1.900000E+010 -1.096054E+001
  569  19/11  2.000000E+010 -1.136758E+001
  570  20/11  2.100000E+010 -1.174839E+001
  571  21/11  2.200000E+010 -1.211846E+001
  572  22/11  2.300000E+010 -1.247251E+001
  573  23/11  2.400000E+010 -1.281840E+001
  574  24/11  2.500000E+010 -1.312111E+001
  575  25/11  2.600000E+010 -1.343676E+001
  576  26/11  2.700000E+010 -1.375118E+001
  577  27/11  2.800000E+010 -1.400142E+001
  578  28/11  2.900000E+010 -1.423867E+001
  579  29/11  3.000000E+010 -1.448304E+001
  580  30/11  3.100000E+010 -1.472578E+001
  581  31/11  3.200000E+010 -1.491174E+001
  582  32/11  3.300000E+010 -1.511560E+001
  583  33/11  3.400000E+010 -1.533686E+001
  584  34/11  3.500000E+010 -1.551946E+001
  585  35/11  3.600000E+010 -1.569241E+001
  586  36/11  3.700000E+010 -1.589760E+001
  587  37/11  3.800000E+010 -1.601593E+001
  588  38/11  3.900000E+010 -1.619921E+001
  589  39/11  4.000000E+010 -1.636924E+001
  590  40/11  4.100000E+010 -1.652993E+001
  591  41/11  4.200000E+010 -1.660374E+001
  592  42/11  4.300000E+010 -1.669678E+001
  593  43/11  4.400000E+010 -1.684325E+001
  594  44/11  4.500000E+010 -1.698167E+001
  595  45/11  4.600000E+010 -1.702922E+001
  596  46/11  4.700000E+010 -1.715986E+001
  597  47/11  4.800000E+010 -1.728354E+001
  598  48/11  4.900000E+010 -1.743266E+001
  599  49/11  5.000000E+010 -1.712698E+001
  600   0/12  1.000000E+009  1.142672E+001
  601   1/12  2.000000E+009  5.671681E+000
  602   2/12  3.000000E+009  2.263822E+000
  603   3/12  4.000000E+009 -1.568579E-001
  604   4/12  5.000000E+009 -2.024236E+000
  605   5/12  6.000000E+009 -3.532049E+000
  606   6/12  7.000000E+009 -4.818351E+000
  607   7/12  8.000000E+009 -5.905778E+000
  608   8/12  9.000000E+009 -6.875477E+000
  609   9/12  1.000000E+010 -7.734783E+000
  610  10/12  1.100000E+010 -8.508289E+000
  611  11/12  1.200000E+010 -9.224298E+000
  612  12/12  1.300000E+010 -9.862631E+000
  613  13/12  1.400000E+010 -1.045799E+001
  614  14/12  1.500000E+010 -1.101269E+001
  615  15/12  1.600000E+010 -1.152543E+001
  616  16/12  1.700000E+010 -1.200838E+001
  617  17/12  1.800000E+010 -1.250419E+001
  618  18/12  1.900000E+010 -1.293289E+001
  619  19/12  2.000000E+010 -1.334295E+001
  620  20/12  2.100000E+010 -1.372114E+001
  621  21/12  2.200000E+010 -1.407787E+001
  622  22/12  2.300000E+010 -1.443086E+001
  623  23/12  2.400000E+010 -1.476330E+001
  624  24/12  2.500000E+010 -1.505553E+001
  625  25/12  2.600000E+010 -1.536213E+001
  626  26/12  2.700000E+010 -1.565637E+001
  627  27/12  2.800000E+010 -1.589618E+001
  628  28/12  2.900000E+010 -1.610944E+001
  629  29/12  3.000000E+010 -1.633904E+001
  630  30/12  3.100000E+010 -1.654601E+001
  631  31/12  3.200000E+010 -1.671649E+001
  632  32/12  3.300000E+010 -1.690016E+001
  633  33/12  3.400000E+010 -1.709513E+001
  634  34/12  3.500000E+010 -1.725780E+001
  635  35/12  3.600000E+010 -1.738423E+001
  636  36/12  3.700000E+010 -1.756116E+001
  637  37/12  3.800000E+010 -1.761786E+001
  638  38/12  3.900000E+010 -1.780617E+001
  639  39/12  4.000000E+010 -1.796187E+001
  640  40/12  4.100000E+010 -1.807913E+001
  641  41/12  4.200000E+010 -1.811902E+001
  642  42/12  4.300000E+010 -1.812857E+001
  643  43/12  4.400000E+010 -1.827767E+001
  644  44/12  4.500000E+010 -1.838720E+001
  645  45/12  4.600000E+010 -1.837780E+001
  646  46/12  4.700000E+010 -1.847336E+001
  647  47/12  4.800000E+010 -1.867704E+001
  648  48/12  4.900000E+010 -1.858805E+001
  649  49/12  5.000000E+010 -1.841371E+001
