Ic (@Vce=1.2V) = {0.4654mA, 0.8008mA, 1.321mA, 2.148mA, 3.590mA
6.306mA, 11.11mA, 18.39mA, 27.58mA, 37.33mA, 44.82mA, 50.65mA
56.15mA, 61.37mA}

H21 vs. freq

Point prm/cv                     freq                 H21_dB.m
  316  34/ 3  3.5000000000000000E+010  8.1318972718893594E+000
  317  35/ 3  3.6000000000000000E+010  7.6695765737217734E+000
  318  36/ 3  3.7000000000000000E+010  7.4324749253808386E+000
  319  37/ 3  3.8000000000000000E+010  7.2747982709537222E+000
  320  38/ 3  3.9000000000000000E+010  6.9475691052275792E+000
  321  39/ 3  4.0000000000000000E+010  7.3667052976320946E+000
  322  40/ 3  4.1000000000000000E+010  6.8156758059322673E+000
  323  41/ 3  4.2000000000000000E+010  6.4328577219657612E+000
  324  42/ 3  4.3000000000000000E+010  6.0768832103643087E+000
  325  43/ 3  4.4000000000000000E+010  6.1074135019984190E+000
  326  44/ 3  4.5000000000000000E+010  6.0776555986338501E+000
  327  45/ 3  4.6000000000000000E+010  6.0327400497785977E+000
  328  46/ 3  4.7000000000000000E+010  7.4175712859589726E+000
  329  47/ 3  4.8000000000000000E+010  6.0372872223297573E+000
  330  48/ 3  4.9000000000000000E+010  3.8870500966911221E+000
  331  49/ 3  5.0000000000000000E+010  3.0036465179225589E+000
  332  50/ 3  5.1000000000000000E+010  2.3872398983867349E+000
  333  51/ 3  5.2000000000000000E+010  3.7110733218875658E+000
  334  52/ 3  5.3000000000000000E+010  4.4287508999129646E+000
  335  53/ 3  5.4000000000000000E+010  4.7380577238477519E+000
  336  54/ 3  5.5000000000000000E+010  2.5964663553320650E+000
  337  55/ 3  5.6000000000000000E+010  4.5026605181344470E+000
  338  56/ 3  5.7000000000000000E+010  3.6322338227164002E+000
  339  57/ 3  5.8000000000000000E+010  3.9465101452873230E+000
  340  58/ 3  5.9000000000000000E+010  4.9167997927220100E+000
  341  59/ 3  6.0000000000000000E+010  3.5323881042340881E+000
  342  60/ 3  6.1000000000000000E+010  4.8313278403268507E+000
  343  61/ 3  6.2000000000000000E+010  4.2779352939247914E+000
  344  62/ 3  6.3000000000000000E+010  4.6930962691224494E+000
  345  63/ 3  6.4000000000000000E+010  4.5882885935628774E+000
  346  64/ 3  6.5000000000000000E+010  4.1397807402031273E+000
  347  65/ 3  6.6000000000000000E+010  3.8562585990306291E+000
  348  66/ 3  6.7000000000000000E+010  3.7961324327399630E+000
  349  67/ 3  6.8000000000000000E+010  3.6131606428369052E+000
  350  68/ 3  6.9000000000000000E+010  3.4024770246387428E+000
  351  69/ 3  7.0000000000000000E+010  3.6831198532876619E+000
  352  70/ 3  7.1000000000000000E+010  3.2426512342553000E+000
  353  71/ 3  7.2000000000000000E+010  3.2424345871406648E+000
  354  72/ 3  7.3000000000000000E+010  3.0705769072672120E+000
  355  73/ 3  7.4000000000000000E+010  2.8582877176146031E+000
  356  74/ 3  7.5000000000000000E+010  2.9455726465212022E+000
  357  75/ 3  7.6000000000000000E+010  2.8680575470908010E+000
  358  76/ 3  7.7000000000000000E+010  2.9877546742257168E+000
  359  77/ 3  7.8000000000000000E+010  2.7707892671392149E+000
  360  78/ 3  7.9000000000000000E+010  2.7539821764911658E+000
  361  79/ 3  8.0000000000000000E+010  2.0539875000557259E+000
  362  80/ 3  8.1000000000000000E+010  1.3265023772913189E+000
  363  81/ 3  8.2000000000000000E+010  2.6406147228850050E+000
  364  82/ 3  8.3000000000000000E+010  2.0649002120387618E+000
  365  83/ 3  8.4000000000000000E+010  1.7837573916609180E+000
  366  84/ 3  8.5000000000000000E+010  1.9431767463582450E+000
  367  85/ 3  8.6000000000000000E+010  1.9829727948509830E+000
  368  86/ 3  8.7000000000000000E+010  1.8832813699502311E+000
  369  87/ 3  8.8000000000000000E+010  1.6952454213703640E+000
  370  88/ 3  8.9000000000000000E+010  1.6341771199667421E+000
  371  89/ 3  9.0000000000000000E+010  1.9471653388733849E+000
  372  90/ 3  9.1000000000000000E+010  1.6557969332062710E+000
  373  91/ 3  9.2000000000000000E+010  1.5945870558263000E+000
  374  92/ 3  9.3000000000000000E+010  1.2517007613469899E+000
  375  93/ 3  9.4000000000000000E+010  1.1712004726741170E+000
  376   0/ 4  1.0000000000000000E+009  4.2468847859468653E+001
  377   1/ 4  2.0000000000000000E+009  3.6803538535065130E+001
  378   2/ 4  3.0000000000000000E+009  3.3231038495107512E+001
  379   3/ 4  4.0000000000000000E+009  3.0685565587134779E+001
  380   4/ 4  5.0000000000000000E+009  2.8733948431436591E+001
  381   5/ 4  6.0000000000000000E+009  2.7162790094058789E+001
  382   6/ 4  7.0000000000000000E+009  2.5791286282964421E+001
  383   7/ 4  8.0000000000000000E+009  2.4614071390288299E+001
  384   8/ 4  9.0000000000000000E+009  2.3681366765590798E+001
  385   9/ 4  1.0000000000000000E+010  2.2622778465288960E+001
  386  10/ 4  1.1000000000000000E+010  2.1857754801190289E+001
  387  11/ 4  1.2000000000000000E+010  2.1168105465225189E+001
  388  12/ 4  1.3000000000000000E+010  2.0407142677815610E+001
  389  13/ 4  1.4000000000000000E+010  1.9759916432756651E+001
  390  14/ 4  1.5000000000000000E+010  1.9151740424154450E+001
  391  15/ 4  1.6000000000000000E+010  1.8406957729898132E+001
  392  16/ 4  1.7000000000000000E+010  1.8050993886921749E+001
  393  17/ 4  1.8000000000000000E+010  1.7502780598025701E+001
  394  18/ 4  1.9000000000000000E+010  1.7139485921682759E+001
  395  19/ 4  2.0000000000000000E+010  1.6560414261028150E+001
  396  20/ 4  2.1000000000000000E+010  1.6278689515441439E+001
  397  21/ 4  2.2000000000000000E+010  1.5879063601609490E+001
  398  22/ 4  2.3000000000000000E+010  1.5413797222396900E+001
  399  23/ 4  2.4000000000000000E+010  1.5144126543760621E+001
  400  24/ 4  2.5000000000000000E+010  1.4719825844003131E+001
  401  25/ 4  2.6000000000000000E+010  1.4328864560178880E+001
  402  26/ 4  2.7000000000000000E+010  1.4087202182918171E+001
  403  27/ 4  2.8000000000000000E+010  1.3787692059654530E+001
  404  28/ 4  2.9000000000000000E+010  1.3473995109562210E+001
