Ic (@Vce=1.5V) = {0.170mA, 0.3653mA, 0.7346mA, 1.391mA, 2.528mA, 
4.373mA, 7.044mA, 10.49mA, 14.56mA, 19.11mA, 23.72mA, 27.26mA,
30.26mA, 33.18mA}

H21 vs. freq
Point prm/cv                      freq                  H21_dB.m
   90  90/ 0  9.10000000000000000E+010 -6.60246002051393700E+000
   91  91/ 0  9.20000000000000000E+010 -6.94496537783421260E+000
   92  92/ 0  9.30000000000000000E+010 -7.35059454586393990E+000
   93  93/ 0  9.40000000000000000E+010 -7.39639704400139490E+000
   94   0/ 1  1.00000000000000000E+009  2.67332165110147810E+001
   95   1/ 1  2.00000000000000000E+009  2.02305078910478780E+001
   96   2/ 1  3.00000000000000000E+009  1.66170657856328030E+001
   97   3/ 1  4.00000000000000000E+009  1.40367234347970910E+001
   98   4/ 1  5.00000000000000000E+009  1.20212299012358040E+001
   99   5/ 1  6.00000000000000000E+009  1.04290147659738230E+001
  100   6/ 1  7.00000000000000000E+009  9.15916396860589900E+000
  101   7/ 1  8.00000000000000000E+009  7.97637730762447640E+000
  102   8/ 1  9.00000000000000000E+009  7.07853781075053060E+000
  103   9/ 1  1.00000000000000000E+010  6.03558930217755840E+000
  104  10/ 1  1.10000000000000000E+010  5.27801467913118930E+000
  105  11/ 1  1.20000000000000000E+010  4.58768654340017880E+000
  106  12/ 1  1.30000000000000000E+010  3.93879991434639140E+000
  107  13/ 1  1.40000000000000000E+010  3.29977095653458360E+000
  108  14/ 1  1.50000000000000000E+010  2.76930072190626130E+000
  109  15/ 1  1.60000000000000000E+010  1.96936380111361830E+000
  110  16/ 1  1.70000000000000000E+010  1.84934875784285220E+000
  111  17/ 1  1.80000000000000000E+010  1.29611838438731210E+000
  112  18/ 1  1.90000000000000000E+010  1.03803584950997060E+000
  113  19/ 1  2.00000000000000000E+010  5.25932536459238430E-001
  114  20/ 1  2.10000000000000000E+010  2.82726445674606470E-001
  115  21/ 1  2.20000000000000000E+010 -2.51684958682516990E-002
  116  22/ 1  2.30000000000000000E+010 -4.20480824161973970E-001
  117  23/ 1  2.40000000000000000E+010 -5.88715898914142330E-001
  118  24/ 1  2.50000000000000000E+010 -8.21892692079995160E-001
  119  25/ 1  2.60000000000000000E+010 -1.19991220458421770E+000
  120  26/ 1  2.70000000000000000E+010 -1.41876322226948610E+000
  121  27/ 1  2.80000000000000000E+010 -1.67430856139468640E+000
  122  28/ 1  2.90000000000000000E+010 -1.80774319305122130E+000
  123  29/ 1  3.00000000000000000E+010 -2.08268646559639460E+000
  124  30/ 1  3.10000000000000000E+010 -2.41135480264649620E+000
  125  31/ 1  3.20000000000000000E+010 -2.19358527167002300E+000
